Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
F49E11.6,20705.10929,12.58465625,0.877150621,1.03516E-48,2.11132E-44
F57F4.2,16501.43852,9.01771187,0.662584123,1.59764E-43,1.62928E-39
T26C12.2,2060.524416,7.405687319,0.570538636,7.4931E-40,5.09431E-36
Y73F8A.11,1593.729768,8.564104021,0.664754603,2.76665E-39,1.41072E-35
H10D18.4,19557.58316,13.40054953,1.081037094,1.37871E-37,5.62403E-34
R05A10.1,2814.826854,7.648115218,0.658995671,1.82509E-32,6.2041E-29
F38E11.2,11664.67097,10.04769363,0.894420547,8.49465E-31,2.16571E-27
H10D18.2,28450.50367,13.28047732,1.198898544,8.01151E-31,2.16571E-27
C25E10.2,693.8186314,6.708536564,0.600976264,1.74799E-30,3.96133E-27
C11D2.2,2638.607225,7.978210762,0.716387774,3.99983E-30,8.15806E-27
C29E4.1,3878.950611,-7.371419227,0.673908446,3.18158E-29,5.89924E-26
R02C2.3,13712.70053,10.59961246,0.976430301,4.44678E-29,7.55804E-26
F21C3.2,3093.212868,9.237682528,0.868929149,8.4052E-28,1.31871E-24
Y75B12B.8,11251.87193,11.22525318,1.083511961,6.36553E-27,9.27367E-24
C41G6.13,11251.0187,11.67624288,1.148578555,3.65921E-26,4.97094E-23
F32G8.3,474.6548617,6.515855018,0.638299008,3.89954E-26,4.97094E-23
C54F6.17,797.6782574,9.404881826,0.931145177,2.00764E-25,2.4087E-22
ZK430.3,1391.736652,7.554871506,0.748617895,2.5206E-25,2.85612E-22
T25D10.3,5272.828157,10.01617581,1.004127851,5.7058E-25,6.12503E-22
T10H4.11,3058.247631,8.322107648,0.835158521,9.75564E-25,9.9488E-22
C16C4.17,320.5029689,8.217849073,0.828047838,1.46437E-24,1.42226E-21
Y51A2A.4,516.5858025,8.932044028,0.901657075,1.60088E-24,1.48416E-21
ZK1025.3,1134.113132,-8.783225538,0.895887533,4.53944E-24,4.02549E-21
Y39H10A.2,422.4430318,5.619933384,0.587109255,6.4253E-24,5.46043E-21
K07A1.7,1023.343921,6.613434057,0.684481733,9.77954E-24,7.97854E-21
C34D1.1,2418.088164,5.931141868,0.621448168,1.30566E-23,1.02424E-20
C23H5.15,3450.034637,8.069127213,0.838302765,2.73075E-23,2.06283E-20
Y113G7A.16,449.6207017,5.172962581,0.55474875,4.04523E-23,2.94666E-20
K04A8.8,759.8575806,8.608057939,0.912457528,1.65873E-22,1.1666E-19
Y54G2A.57,3252.646439,8.696785223,0.922394338,1.7239E-22,1.17202E-19
F10B5.3,2609.996235,6.255293685,0.677643294,3.81142E-22,2.50767E-19
ZK1025.8,758.0717951,-8.427524373,0.902566778,4.19698E-22,2.67505E-19
Y51A2A.11,2078.75848,9.347349419,1.005108208,4.96149E-22,3.0665E-19
F55H2.8,988.9864326,6.134353426,0.674034209,1.07545E-21,6.45141E-19
F14D7.5,607.9872024,9.047090031,0.981193779,1.12449E-21,6.55291E-19
Y51A2A.7,2078.203448,9.413000724,1.022689263,1.18201E-21,6.69673E-19
ZK1025.2,760.3898211,-8.411190622,0.93015426,6.32254E-21,3.48526E-18
ZK1025.7,305.2287086,-8.821195647,0.981380953,9.79843E-21,5.25918E-18
D1025.9,1079.738513,-6.607062983,0.745753316,1.61178E-20,8.42922E-18
Y59A8B.19,6080.508051,10.09158866,1.137667151,1.89799E-20,9.67783E-18
T10B10.1,3484.162565,-6.745447696,0.764492487,2.52177E-20,1.25449E-17
Y59A8B.26,6704.451685,10.32550026,1.175153118,3.60198E-20,1.74919E-17
Y39H10A.1,1685.622343,7.869101737,0.90023088,9.02751E-20,4.28198E-17
C10H11.5,1320.518887,6.970558476,0.807663527,1.61274E-19,7.47581E-17
F40G12.5,870.4300702,6.726344016,0.783274085,1.91643E-19,8.6861E-17
C09E8.3,1770.195855,-7.964707988,0.921363452,2.11821E-19,9.39198E-17
Y38E10A.7,5851.649912,5.66595595,0.675356548,2.98718E-19,1.29631E-16
T18H9.1,1095.007132,-5.756900154,0.685338225,3.06258E-19,1.30134E-16
ZK455.1,6553.94053,-3.410767032,0.400169943,5.44469E-19,2.26632E-16
K04A8.18,170.4706424,6.851285827,0.81130883,7.13614E-19,2.91097E-16
B0491.2,10002.43852,-8.574449887,1.013077732,9.93644E-19,3.9738E-16
C18H7.1,2667.863126,6.840848759,0.822228373,2.00217E-18,7.85312E-16
D1025.8,795.829784,-6.779030923,0.82576773,4.71346E-18,1.81388E-15
Y60C6A.2,1273.90912,8.074352712,0.976437248,5.07727E-18,1.9177E-15
C54F6.15,1726.406751,11.27092219,1.387624072,6.04518E-18,2.21053E-15
M01H9.3,29539.54319,4.621768571,0.580546594,6.0693E-18,2.21053E-15
ZK1037.4,308.2196426,8.181144758,0.995076814,7.55821E-18,2.70451E-15
R05D8.7,438.9381785,5.838280588,0.728881472,8.4362E-18,2.96663E-15
T04C12.7,1890.406757,6.506302217,0.805614385,1.07285E-17,3.70878E-15
F14F9.2,1063.785543,6.868289746,0.847591617,1.19635E-17,4.0668E-15
R08E5.4,592.5928316,8.32888409,1.02329543,1.4827E-17,4.95756E-15
D1025.6,1506.858567,-6.202311325,0.778140499,1.78734E-17,5.78643E-15
F01F1.14,461.6870175,3.04019444,0.370071624,1.78568E-17,5.78643E-15
C13A2.12,3737.448857,9.234837409,1.141850605,1.96807E-17,6.27199E-15
F46B3.5,185.4206753,-7.961654256,0.990456092,3.26312E-17,1.02392E-14
D1025.7,421.5370872,-6.718404524,0.855493769,7.63865E-17,2.36058E-14
Y60C6A.1,5243.005332,6.467330142,0.829444488,9.30494E-17,2.83259E-14
K09C8.3,1484.434312,8.078076786,1.023133064,1.02638E-16,3.07855E-14
Y41G9A.10,1912.426727,5.894395381,0.768599863,1.31627E-16,3.89083E-14
F33D11.3,469.7386241,-6.716796237,0.87082713,2.24731E-16,6.54801E-14
F58G6.7,379.5369502,-4.98169266,0.664639964,2.30477E-16,6.62086E-14
C16C4.6,294.228492,7.12348486,0.921773677,2.71098E-16,7.67961E-14
