Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
R09E10.8,932.6962339,-15.96605716,2.158279427,3.13662E-14,5.77671E-10
F02E11.5,840.0778928,-16.02561925,2.711146505,3.6844E-10,3.39278E-06
F28F8.2,3101.110782,-4.436634123,0.828854806,2.03893E-08,0.00012517
F28B1.1,35.63130926,-15.86962707,3.341725246,3.19547E-08,0.000147127
ZK39.3,383.9989556,-14.069461,3.199730557,5.33525E-08,0.000196519
C09G12.5,369.0948521,-12.69798769,3.58380291,2.3299E-07,0.000715162
Y26D4A.4,106.0162286,-14.1191721,4.031185232,2.75077E-07,0.000723728
F47B8.13,4261.490952,-5.983987172,1.602176897,6.88757E-07,0.001585604
F47B8.14,2677.375101,-4.976574411,1.988777226,6.04949E-06,0.012379281
Y38C1BA.3,9145.529735,-4.735015102,1.908364252,7.07069E-06,0.013022089
K04E7.2,3121.164396,3.959201863,1.462859104,7.86967E-06,0.013175972
C47A4.2,350.2509748,4.506697418,2.185758985,1.21535E-05,0.018652625
F48G7.5,439.4760501,-3.81790353,1.883279555,1.78417E-05,0.02084454
K03D3.5,491.7193164,-6.542570002,6.523093783,1.49611E-05,0.02084454
R02E4.3,3476.391277,-3.999001937,2.13695717,1.92408E-05,0.02084454
W02D7.2,210.3671137,3.276918453,1.538333363,1.90571E-05,0.02084454
Y49E10.18,995.9950181,3.492606981,1.673587855,1.88667E-05,0.02084454
C29F3.7,1171.5574,3.139352719,1.667710775,2.68802E-05,0.026055414
F47B8.18,2109.626168,-3.950366573,2.573821513,2.65419E-05,0.026055414
ZC168.5,1015.244454,-3.49888521,2.230255911,3.36278E-05,0.030966123
C36C5.5,149.6762093,2.348099296,1.374782222,3.85195E-05,0.032246056
K01D12.13,185.4420787,2.87300669,1.72764607,3.83654E-05,0.032246056
H20E11.1,252.7779307,3.164670945,2.11136602,4.26369E-05,0.034141072
F26G1.5,1039.222133,-2.963109818,2.037803442,4.89997E-05,0.037601131
C16C8.2,2433.604575,-2.97029965,2.103874242,5.14035E-05,0.037867905
C17B7.12,87.53609618,2.978998805,2.357040293,5.98819E-05,0.041547766
Y54G2A.9,405.1778188,2.023391426,1.415403806,6.09106E-05,0.041547766
T27A1.1,3824.13417,-2.7179676,3.781928455,7.22321E-05,0.047510673
T16G12.1,1794.340353,2.565033835,2.19393962,8.27394E-05,0.052545243
F38A5.3,485.0992975,2.076489502,1.767163526,9.70201E-05,0.055838122
K08D8.4,308.8262622,2.204650042,1.901382201,9.67366E-05,0.055838122
ZK643.8,21762.54415,-2.507687621,2.268435248,9.16027E-05,0.055838122
ZK484.2,2381.030627,1.9796742,1.698806909,0.000100279,0.055964877
C04E12.10,8.587360508,1.670693679,1.538281003,0.000120332,0.05637909
C05E7.2,1021.017265,-2.195160199,2.101077777,0.0001159,0.05637909
C23H4.4,86.17508463,-2.142982865,2.021574632,0.000115888,0.05637909
F23F1.2,2323.723876,-2.08987881,1.94937403,0.000115888,0.05637909
F59A6.10,660.2921205,-2.180271306,2.108408436,0.000118455,0.05637909
W04G3.10,10.50490173,1.952767085,1.836752749,0.00012245,0.05637909
ZK228.4,290.0287038,2.085982338,1.971880364,0.0001188,0.05637909
T28A11.17,22.40769675,1.58446316,1.523835238,0.000133634,0.059531333
Y52B11B.1,298.7024095,-2.174769934,2.40656576,0.000135761,0.059531333
W09G10.1,1063.468973,-2.091203584,2.243994711,0.000141065,0.060418519
C02E7.10,17.11919372,1.538918198,1.628044844,0.000168056,0.065428796
C33G3.3,1732.384394,-1.78868681,1.988931092,0.000174079,0.065428796
F36G3.2,523.7685107,1.602827036,1.714173379,0.000171038,0.065428796
T28F2.8,17475.65427,-1.996665352,2.594215437,0.000161445,0.065428796
W01B6.7,28296.38776,-1.938962867,2.326717754,0.00017105,0.065428796
Y47H9C.1,145.2222769,1.757085253,1.918180638,0.000171131,0.065428796
C50F7.2,57.42912166,-1.707470613,1.895899568,0.000179345,0.066059769
F32D8.3,249.5336054,-1.557663372,1.864388061,0.000215405,0.067239281
F35E12.8,328.8537099,1.086087067,1.292841474,0.000215162,0.067239281
F49A5.5,44.56809662,1.743284544,2.423020274,0.000210403,0.067239281
T21B4.2,18589.51221,-1.76845705,2.496411894,0.000202694,0.067239281
Y34B4A.5,276.2663224,1.211355624,1.376447871,0.000196119,0.067239281
Y82E9BL.10,96.58730332,1.710375317,1.981479655,0.000191832,0.067239281
Y82E9BL.15,44.91922584,1.351771942,1.520120851,0.000194633,0.067239281
Y95B8A.2,789.0499057,-1.657747798,1.990682138,0.000207217,0.067239281
ZK228.3,167.8608759,1.659274326,2.03263859,0.000212549,0.067239281
C46A5.3,8988.718238,-1.620527177,2.039137413,0.000224619,0.068216072
K01D12.10,118.3018039,-1.629485981,2.072200554,0.000225942,0.068216072
ZK863.2,31733.60785,-1.62169366,2.401686729,0.000237879,0.070661458
R06B10.3,1990.635451,0.715733452,0.957190746,0.000243413,0.071157634
F46G10.6,2304.177752,-0.849834808,1.11295022,0.00025396,0.071956724
K10D11.1,446.6080304,1.535356633,2.055726296,0.000253875,0.071956724
C29F5.8,813.5991887,-1.529900341,2.165071488,0.000264862,0.073908675
B0280.4,51.76700375,0.864656436,1.162333391,0.000277378,0.07403581
