Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
2L52.1,122.6763308,1.322016562,0.539110517,0.000976259,0.009170598
2RSSE.1,1243.511449,0.511993259,0.619385741,0.173565866,0.390630627
3R5.1,182.2693821,1.51791349,0.505269051,0.000122938,0.001663486
4R79.1,76.47097425,-6.753520011,1.067297135,8.53884E-12,1.19418E-09
4R79.2,109.1074869,0.387336902,0.626383106,0.293458805,0.533050195
6R55.2,15.74315321,-0.453904943,0.745693294,0.251833575,0.488925314
AC3.1,30.55756151,1.749820216,0.871378588,0.001808031,0.015041427
AC3.10,91.58046262,-0.358112998,0.727307146,0.351115805,0.590887522
AC3.12,14.94450976,-0.420075862,0.793736825,0.294264253,0.533931301
AC3.2,969.7134928,-0.42547265,0.496962621,0.20837058,0.438182916
AC3.3,1375.061737,-2.683408619,1.891530464,0.004554078,0.030710869
AC3.4,1299.956391,-2.452104357,1.868200065,0.006499401,0.040179757
AC3.5,4710.067386,0.512527634,0.5366598,0.148279517,0.356957871
AC3.6,310.0277802,2.305110327,1.156439533,0.001399864,0.012209
AC3.7,663.4089788,1.751584948,0.711355897,0.000492082,0.005273929
AC3.8,183.0509434,-0.90458866,0.774633694,0.043060562,0.157809817
AC7.1,139.0685986,1.975258043,0.592358533,2.22203E-05,0.000403986
AC7.2,1651.240834,-0.259592697,0.386925297,0.374538729,0.611796815
AC7.3,42.84322311,-1.108931678,1.408210717,0.061216778,0.201261604
AC8.10,410.8876178,0.931915621,0.382774772,0.002529305,0.019560542
AC8.11,268.3171084,0.977757965,0.543396886,0.010674086,0.058214087
AC8.12,153.1920643,0.56250361,0.375316338,0.054328676,0.186047806
AC8.3,442.5531948,0.99636978,0.412785339,0.002290962,0.018088022
AC8.4,210.6884488,0.73646705,0.474615621,0.032035832,0.129014218
AC8.7,210.3083737,0.84600969,0.495725327,0.017887873,0.085318284
AH10.1,316.883957,-0.60956874,0.973645233,0.17661035,0.394728057
AH10.2,8.283789717,-3.87243455,2.275832408,0.001178633,0.010702101
AH10.3,71.50251823,0.541070805,0.495270317,0.114220894,0.302578189
AH10.4,26.11086345,1.952806528,0.935894522,0.001256377,0.011226487
AH6.1,38.06778957,1.592735842,1.107613127,0.009033296,0.051586774
AH6.10,10.02308413,0.092015985,0.501051609,0.779636208,0.891936647
AH6.11,4.292007686,0.125577783,0.59765703,0.718909451,0.85666866
AH6.12,2.266838767,-0.41137804,0.85654973,0.314608831,0.55459339
AH6.14,2.941914539,-0.423483465,0.857150206,0.3022747,0.54260764
AH6.17,16.62136458,0.225779336,0.76974733,0.551764547,0.749699287
AH6.2,116.5847324,0.664209803,0.911273544,0.138318704,0.341848216
AH6.3,102.9384,0.214945086,0.685097809,0.557633749,0.753371019
AH6.4,22.10846057,0.61364104,0.84959581,0.154846926,0.366010711
AH6.5,1264.833557,0.583869932,0.817228917,0.166733541,0.381740594
AH6.6,7.231066754,0.101215512,0.762695129,0.785296771,0.894740997
AH6.7,6.298644802,0.182366842,0.630257374,0.608910013,0.787225506
AH6.8,7.447272416,0.54042455,0.803781748,0.192925851,0.417166807
AH9.1,831.1023984,0.681482203,0.963518878,0.13774923,0.340904202
AH9.2,80.92845822,-0.541035325,0.496774247,0.114795218,0.303626438
AH9.3,197.487138,-0.39181766,0.42678563,0.208712642,0.438588224
AH9.4,47.3581969,0.350162273,0.516069653,0.304158206,0.544505532
AH9.6,227.8691287,-0.021158376,0.347100859,0.938136446,0.973773845
B0001.1,1056.663779,-0.416247751,0.353662895,0.134690899,0.33582886
B0001.2,902.0418326,0.625039446,0.604640668,0.100498826,0.279339903
