Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
F49E11.6,20705.10929,12.10308608,0.888947257,9.44262E-46,1.92592E-41
F57F4.2,16501.43852,8.809768067,0.667375446,1.58731E-42,1.61874E-38
C29E4.1,3878.950611,-8.500195163,0.680122326,1.78974E-38,1.21679E-34
R02C2.3,13712.70053,12.13202912,0.990321242,4.55763E-38,2.32393E-34
F38E11.2,11664.67097,11.02711937,0.907741112,2.08775E-37,8.51633E-34
H10D18.4,19557.58316,12.76749019,1.099223661,8.9001E-35,3.02544E-31
T26C12.2,2060.524416,6.569039929,0.570609823,1.38006E-32,4.02109E-29
Y73F8A.11,1593.729768,7.514636356,0.668625358,1.35991E-31,3.4671E-28
ZK430.3,1391.736652,8.231551466,0.750226628,1.46388E-30,3.31748E-27
R05A10.1,2814.826854,7.236698494,0.660357181,3.93964E-30,8.03529E-27
D1025.9,1079.738513,-8.065799455,0.761155647,9.85934E-29,1.8281E-25
D1025.6,1506.858567,-8.200807107,0.784107703,3.78708E-28,6.43678E-25
W01C8.4,164.2286062,-3.805033386,0.351368838,5.27088E-28,8.2696E-25
Y39H10A.2,422.4430318,6.049217384,0.572472232,8.6089E-28,1.25419E-24
T10H4.11,3058.247631,8.64155629,0.842163287,2.02803E-27,2.75759E-24
C25E10.2,693.8186314,6.145120486,0.596920299,1.3609E-26,1.63276E-23
T25D10.3,5272.828157,10.19004358,1.02404823,1.33013E-26,1.63276E-23
H10D18.2,28450.50367,12.03662815,1.23002958,3.0298E-26,3.25241E-23
ZK1025.3,1134.113132,-9.220497924,0.926832326,2.93993E-26,3.25241E-23
C54F6.17,797.6782574,9.334638884,0.945702428,5.78902E-26,5.90365E-23
F58G6.7,379.5369502,-7.105258958,0.716017911,2.36758E-25,2.29948E-22
D1025.4,1877.925368,-8.064986815,0.827770158,6.11813E-25,5.67206E-22
T10B10.1,3484.162565,-7.414627279,0.759162289,8.49727E-25,7.22127E-22
ZK1307.1,2341.399414,-6.581548692,0.66833826,8.20889E-25,7.22127E-22
D1086.9,20357.37802,10.81907633,1.153351456,2.29308E-24,1.87079E-21
Y75B12B.8,11251.87193,10.36987138,1.110860522,4.5993E-24,3.60797E-21
C41G6.13,11251.0187,10.82600644,1.180601252,1.6255E-23,1.22791E-20
C11D2.2,2638.607225,6.829551805,0.718742803,1.88667E-23,1.3743E-20
F32G8.3,474.6548617,6.04038532,0.631179333,2.16785E-23,1.52467E-20
Y59A8B.19,6080.508051,10.58115491,1.165575205,4.3356E-23,2.94763E-20
Y51A2A.4,516.5858025,8.433814679,0.912878808,5.46877E-23,3.5981E-20
Y110A2AL.4,2091.680958,6.305716352,0.668537421,6.16085E-23,3.92677E-20
C09E8.3,1770.195855,-8.636007631,0.942645996,9.35669E-23,5.783E-20
Y59A8B.26,6704.451685,10.81727163,1.205827389,1.00098E-22,6.00468E-20
F33D11.3,469.7386241,-8.111299956,0.884767229,1.399E-22,8.15257E-20
Y38E10A.7,5851.649912,6.084795361,0.654139496,2.65766E-22,1.50571E-19
C34D1.1,2418.088164,5.672417187,0.60733192,2.91879E-22,1.60896E-19
F10B5.3,2609.996235,6.15600215,0.665482263,3.99484E-22,2.14418E-19
F55H2.8,988.9864326,6.108945295,0.660278839,4.13503E-22,2.16252E-19
ZK1025.8,758.0717951,-8.201112364,0.913530507,7.34693E-22,3.7462E-19
D1025.8,795.829784,-7.525789336,0.834350054,9.04754E-22,4.50082E-19
Y51A2A.11,2078.75848,9.05045499,1.022696597,1.09464E-21,5.31577E-19
ZK1025.7,305.2287086,-8.908248604,1.011976344,1.87644E-21,8.90044E-19
Y51A2A.7,2078.203448,9.110144794,1.041483396,2.56812E-21,1.19044E-18
C16C4.17,320.5029689,7.398222188,0.833649422,3.76253E-21,1.70535E-18
Y39H10A.1,1685.622343,7.937702818,0.904531838,5.62331E-21,2.49333E-18
F14D7.5,607.9872024,8.58355032,0.995999858,1.2594E-20,5.46525E-18
D1025.7,421.5370872,-7.644847054,0.879136234,1.46827E-20,6.23894E-18
C23H5.15,3450.034637,7.339767682,0.842765616,1.71763E-20,7.14954E-18
F40G12.5,870.4300702,6.760877768,0.773867708,2.31489E-20,9.44288E-18
C40H1.8,336.1459976,-6.267857911,0.713679767,2.52484E-20,1.00974E-17
F38A1.5,378.3804245,-7.5572753,0.874932971,2.64181E-20,1.0362E-17
Y54G2A.57,3252.646439,7.988378506,0.932653007,3.36872E-20,1.29638E-17
ZK1025.2,760.3898211,-8.004510606,0.937090959,4.06018E-20,1.53355E-17
B0491.2,10002.43852,-8.585585573,1.028663011,1.27426E-19,4.72543E-17
M01H9.3,29539.54319,4.880143722,0.556459997,1.31261E-19,4.7807E-17
K07A1.7,1023.343921,5.820437467,0.675587965,1.7744E-19,6.34924E-17
ZK180.5,6737.329055,-7.590779647,0.904909759,2.17309E-19,7.64177E-17
F21C3.2,3093.212868,7.376556598,0.878449447,2.44847E-19,8.46425E-17
F57B7.4,155.9655152,-5.170592311,0.599675237,3.47194E-19,1.18023E-16
F14F9.2,1063.785543,7.025989725,0.838030962,3.78962E-19,1.2671E-16
ZK455.1,6553.94053,-3.464346888,0.39722849,6.11704E-19,2.01231E-16
C49G7.11,633.1372272,5.687190095,0.670301039,6.37947E-19,2.06533E-16
C10H11.5,1320.518887,6.691760004,0.80068578,6.53007E-19,2.08105E-16
F10G2.10,619.1287358,8.976085721,1.112466826,8.90373E-19,2.79386E-16
F08H9.4,808.0524505,7.484433735,0.912989407,1.17857E-18,3.64215E-16
Y113G7A.16,449.6207017,4.574478726,0.535268841,1.29408E-18,3.9394E-16
Y34B4A.5,276.2663224,-6.322811944,0.760702482,1.39311E-18,4.17852E-16
T18H9.1,1095.007132,-5.58051517,0.664210994,1.45883E-18,4.31222E-16
F46B3.5,185.4206753,-7.863036151,0.978378203,3.11928E-18,9.0887E-16
F53F1.5,6975.277745,-8.859003867,1.124613018,4.56512E-18,1.31141E-15
T06A1.7,1441.512674,9.637584886,1.242908766,6.16487E-18,1.74637E-15
R08E5.4,592.5928316,8.166471097,1.033868161,7.16406E-18,2.00162E-15
C07F11.2,577.1121494,3.947179846,0.469647462,7.65004E-18,2.10852E-15
F41F3.3,25608.99048,-8.962566751,1.162195698,1.52218E-17,4.08504E-15
T10B10.6,200.8593183,-4.854076939,0.590499402,1.51967E-17,4.08504E-15
C54F6.15,1726.406751,10.83732464,1.441074741,1.58573E-17,4.20033E-15
ZK1025.9,85.1834021,-5.277104292,0.648587141,1.89624E-17,4.95844E-15
F11G11.10,16352.38557,-8.557289626,1.113255933,2.65358E-17,6.85093E-15
F43H9.2,869.4412185,-4.076343268,0.494931668,2.85443E-17,7.22025E-15
K04A8.8,759.8575806,7.213248458,0.920749275,2.86743E-17,7.22025E-15
C15C8.3,7178.090397,-5.854508087,0.732984414,3.34768E-17,8.32675E-15
F36H1.5,231.4205739,-4.596718258,0.564615965,3.84811E-17,9.45614E-15
C06G3.3,2709.784784,6.443951255,0.825194277,7.42789E-17,1.80356E-14
K02E11.10,2883.181557,-9.573687237,1.289671209,8.04075E-17,1.9294E-14
K01D12.9,646.663406,-8.07272548,1.065452025,9.57544E-17,2.27094E-14
Y102E9.5,124.2409345,-3.334145679,0.411302533,1.0856E-16,2.54504E-14
T01B7.7,3989.560129,-7.720269788,1.019943898,1.40105E-16,3.24724E-14
Y26G10.7,750.4987084,7.607862222,1.005918343,1.62974E-16,3.73486E-14
ZK678.5,1404.151474,-6.761941249,0.887724516,2.41021E-16,5.46206E-14
T17A3.8,101.6650267,-3.536339263,0.445543204,4.29197E-16,9.61967E-14
R11H6.1,4155.06562,-2.880332328,0.367942842,6.59053E-16,1.46109E-13
F58G6.3,257.2355536,-6.535648091,0.874025681,8.78729E-16,1.92716E-13
F58G6.9,446.5066808,-5.093529213,0.664823453,1.04144E-15,2.2597E-13
C18H7.1,2667.863126,6.070996857,0.810138508,1.26737E-15,2.72098E-13
K04C2.3,2490.969839,3.777177641,0.485223608,1.33054E-15,2.82684E-13
C31B8.2,104.0900709,5.667649873,0.755913882,1.91822E-15,4.0334E-13
Y51A2A.12,221.971134,8.092432412,1.13015295,2.05739E-15,4.28189E-13
K04A8.18,170.4706424,5.955944576,0.800187208,2.10674E-15,4.34032E-13
W09C5.4,159.2604475,-4.959880946,0.655259442,2.46014E-15,5.0177E-13
F08H9.8,179.9638381,-4.638019533,0.611073682,2.96772E-15,5.93428E-13
F37B1.4,493.9026889,4.307891837,0.564434932,2.96033E-15,5.93428E-13
C30G7.1,7060.795229,5.883174856,0.79553216,3.27264E-15,6.48046E-13
Y42H9B.1,542.8945469,-6.698117806,0.924280789,4.1644E-15,8.16704E-13
Y60C6A.2,1273.90912,7.049629682,0.980922912,4.56019E-15,8.85806E-13
ZK180.6,4945.334345,-6.713360129,0.932519062,5.81188E-15,1.11829E-12
