gene_id,NS2102_W48_2_S37_L002_gene,NS2102_S8_4_S15_L002_gene,NS2102_S24_3_S19_L002_gene,NS2102_P24_3_S8_L002_gene,NS2102_S8_2_S13_L002_gene,NS2102_W24_3_S33_L002_gene,NS2102_W48_5_S40_L002_gene,NS2102_P48_2_S10_L002_gene,NS2102_S8_3_S14_L002_gene,NS2102_S48_1_S22_L002_gene,NS2102_P48_3_S11_L002_gene,NS2102_W8_5_S30_L002_gene,NS2102_S24_4_S20_L002_gene,NS2102_W24_2_S32_L002_gene,NS2102_S48_2_S23_L002_gene,NS2102_P8_4_S4_L002_gene,NS2102_W8_4_S29_L002_gene,NS2102_P24_1_S6_L002_gene,NS2102_S24_5_S21_L002_gene,NS2102_W24_4_S34_L002_gene,NS2102_W48_3_S38_L002_gene,NS2102_P8_1_S1_L002_gene,NS2102_P8_3_S3_L002_gene,NS2102_W24_5_S35_L002_gene,NS2102_S24_1_S17_L002_gene,NS2102_P24_4_S9_L002_gene,NS2102_W8_3_S28_L002_gene,NS2102_P24_2_S7_L002_gene,NS2102_W8_2_S27_L002_gene,NS2102_P8_2_S2_L002_gene,NS2102_W48_4_S39_L002_gene,NS2102_S48_3_S24_L002_gene,NS2102_S48_5_S25_L002_gene,NS2102_P48_4_S12_L002_gene,NS2102_W48_1_S36_L002_gene,NS2102_S24_2_S18_L002_gene,NS2102_W24_1_S31_L002_gene,NS2102_S8_5_S16_L002_gene,NS2102_W8_1_S26_L002_gene,NS2102_P8_5_S5_L002_gene
__alignment_not_unique,637589,984640,2852799,10174884,1015885,3430657,654366,1316519,1366980,1105062,681758,787842,4826792,3836580,1849385,4495334,2548896,4671552,968100,3218188,601326,10821015,3749602,2611549,5967478,1237676,492847,4255074,2052646,1312891,209403,2125264,1114261,581213,1087276,2941835,2299676,769538,803280,3335186
__ambiguous,13021,24718,44501,117985,28360,46757,11467,18324,34591,17570,9491,23751,76170,57434,27177,120530,85108,75254,13765,46000,13593,228102,93955,45669,75989,20407,14269,63085,48591,37179,3553,30649,19361,9511,16595,43784,35354,21515,23238,87780
__no_feature,11413929,17314268,45753673,153159607,15917138,60791610,12115833,24567768,24051152,18692595,13957436,12947568,74389754,65476153,29428732,66089596,27984067,72138992,17956979,56701966,10821393,144820081,56688139,48041315,95465415,23200205,8612275,70035840,30125771,17579609,4087859,35781610,19280718,11050998,19988396,48170645,39629475,13365842,12028254,52497047
__not_aligned,899038,994610,2609615,8200376,973877,3889490,942463,1692344,1640275,1109390,893253,829042,3991401,4340443,1712639,4204645,1865016,3901009,1139670,3407651,709240,8522081,3193439,2807300,6716486,1069583,540398,3754861,2228968,1275929,338531,2065492,1213821,778765,1740815,2947264,2144358,932601,851383,3269144
__too_low_aQual,1103521,1582527,4293077,14610468,1542737,5319222,1211024,2035051,2202833,1708332,1078762,1198975,7038362,5937409,2768802,6427228,3279051,6688881,1727027,4818142,935502,14848450,5202288,3888487,9827945,1866382,758542,6085592,3403522,2120922,434748,3097832,1832787,948619,1948269,4620066,3300863,1281887,1340054,4723851
Gpal_D383_g00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpal_D383_g00002,0,0,0,0,0,0,0,0,7,0,2,0,0,4,0,0,0,2,0,4,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0
Gpal_D383_g00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,3,2,0,0,0
Gpal_D383_g00004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpal_D383_g00005,1,0,12,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,4,0,0,0,2,0,0,0,0,3,0,2,0,0,2,4
Gpal_D383_g00006,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpal_D383_g00007,7,5,10,1,1,4,0,0,0,0,5,3,3,1,0,12,1,3,4,3,5,12,16,7,8,2,0,3,4,1,5,2,4,1,0,4,4,14,6,3
Gpal_D383_g00008,1,6,1,14,2,5,13,0,17,6,10,8,12,6,2,1,8,7,7,8,6,4,2,25,3,7,6,1,0,0,0,13,8,2,12,8,9,1,0,0
Gpal_D383_g00009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpal_D383_g00010,291,267,481,609,277,1307,275,215,431,234,114,178,961,1195,305,521,574,383,172,1060,276,1206,615,1028,1100,199,132,372,347,145,107,520,261,141,363,482,640,188,166,416
Gpal_D383_g00011,19,1,4,6,2,33,4,10,0,3,2,4,23,16,12,10,2,6,0,27,4,14,6,26,10,0,0,10,2,0,2,6,20,1,2,8,0,2,14,10
