"Geneid","P24_1","P24_2","P24_3","P24_4","P48_2","P48_3","P48_4","P8_1","P8_2","P8_3","P8_4","P8_5","S24_1","S24_2","S24_3","S24_4","S24_5","S48_1","S48_2","S48_3","S48_5","S8_2","S8_3","S8_4","S8_5","W24_1","W24_2","W24_3","W24_4","W24_5","W48_1","W48_2","W48_3","W48_4","W48_5","W8_1","W8_2","W8_3","W8_4","W8_5"
"Gpal_D383_g00001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gpal_D383_g00002",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,6,4,0,4,8,0,0,0,0,0,0,0,0,0,0
"Gpal_D383_g00003",0,6,0,0,0,0,0,2,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gpal_D383_g00004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Gpal_D383_g00005",0,0,10,0,0,0,3,5,0,0,0,4,4,2,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0
"Gpal_D383_g00006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Gpal_D383_g00007",3,3,1,2,0,5,1,12,1,16,12,3,8,4,10,3,4,0,0,2,4,1,0,5,14,4,1,4,3,7,0,7,5,5,0,6,4,0,1,3
"Gpal_D383_g00008",7,1,14,7,0,10,2,4,0,2,1,0,3,8,1,12,7,6,2,13,8,2,17,6,1,9,6,5,8,25,12,1,6,0,13,0,0,6,8,8
"Gpal_D383_g00009",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gpal_D383_g00010",383,372,609,199,215,114,141,1206,145,615,521,416,1100,482,481,961,172,234,305,520,261,277,431,267,188,640,1195,1307,1060,1028,363,291,276,107,275,166,347,132,574,178
"Gpal_D383_g00011",6,10,6,0,10,2,1,14,0,6,10,10,10,8,4,23,0,3,12,6,20,2,0,1,2,0,16,33,27,26,2,19,4,2,4,14,2,0,2,4
"Gpal_D383_g00012",222,263,327,71,72,33,18,1224,156,367,406,278,589,242,171,288,87,120,221,219,108,150,181,131,111,120,91,69,123,55,54,21,27,10,25,43,122,37,84,57
"Gpal_D383_g00013",6,10,11,8,6,0,0,8,4,0,0,0,114,50,26,88,0,2,2,24,64,2,2,0,14,0,12,15,16,53,1,0,0,0,9,1,0,1,18,0
"Gpal_D383_g00014",12,6,16,2,9,8,0,26,0,12,5,3,80,60,22,44,12,45,24,31,34,14,6,11,7,10,22,14,40,13,5,0,13,0,6,8,9,2,6,4
"Gpal_D383_g00015",31,47,51,6,4,5,4,75,1,37,24,15,120,47,57,67,8,22,15,14,12,23,29,17,7,43,84,76,105,83,19,10,11,5,17,8,11,3,20,11
"Gpal_D383_g00016",22,20,16,11,19,9,14,11,0,6,16,6,45,18,12,25,8,5,13,15,11,0,0,5,0,17,35,24,60,36,13,6,2,1,8,0,9,2,6,2
"Gpal_D383_g00017",7,10,12,0,0,0,0,18,0,7,1,6,16,16,2,18,6,5,0,2,9,1,3,2,7,5,10,9,9,17,9,1,3,0,3,2,0,0,6,1
"Gpal_D383_g00018",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Gpal_D383_g00019",1,6,5,1,0,3,0,5,0,3,6,2,9,10,0,13,0,0,1,4,2,1,12,0,6,13,2,3,5,9,0,0,0,0,2,2,12,0,22,0
"Gpal_D383_g00020",2,5,22,3,1,0,0,23,2,7,12,7,10,3,15,8,0,2,0,4,13,6,3,0,6,2,7,11,5,32,0,1,4,0,4,1,5,0,2,0
"Gpal_D383_g00021",0,0,8,0,0,0,0,4,0,0,0,4,0,1,0,1,0,0,0,14,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0
"Gpal_D383_g00022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gpal_D383_g00023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gpal_D383_g00024",0,0,0,0,0,0,0,1,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
"Gpal_D383_g00025",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gpal_D383_g00026",238,157,153,27,52,20,8,828,207,343,362,404,693,451,259,587,30,46,129,176,412,90,163,77,288,81,193,595,307,750,89,146,161,48,185,315,226,84,615,77
"Gpal_D383_g00027",68,95,160,41,48,12,14,200,19,79,48,60,140,78,61,152,36,62,75,63,43,18,52,19,13,82,143,145,111,75,71,41,35,7,29,3,33,4,51,18
"Gpal_D383_g00028",1,0,0,0,0,0,2,0,0,0,5,0,6,0,0,4,4,1,0,0,5,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,4,0
"Gpal_D383_g00029",4,23,14,4,5,4,0,31,0,0,3,10,43,35,18,19,0,16,9,4,11,2,16,4,0,2,45,71,29,57,18,25,12,2,4,4,0,0,14,1
"Gpal_D383_g00030",1,0,2,2,0,0,0,13,0,7,6,0,16,10,7,11,0,1,0,1,22,0,6,0,2,0,4,17,4,34,4,8,4,1,1,7,13,0,11,8
"Gpal_D383_g00031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gpal_D383_g00032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
