Geneid,L1,N2_L1_1,L2,N2_L2_4,L3,N2_L3_1,DauerDAF2,DauerDAF2_2,DauerDAF2_2_1,DauerDAF2_5_1,DauerEntryDAF2,DauerEntryDAF2_1_1,DauerEntryDAF2_2,DauerEntryDAF2_4_1,DauerExitDAF2_2,DauerExitDAF2_3_1,DauerExitDAF2_6_1,L4MALE,L4MALE5,L4,L4b,L4JK1107soma,L4JK1107soma_2,YA,N2_Yad_1
2L52.1,288,153,222,24,61,41,121,52,275,280,152,132,243,221,47,207,337,89,74,52,22,39,51,55,36
2RSSE.1,728,4119,1438,515,613,1136,2771,1194,1480,1775,3160,687,1380,681,1034,619,1012,854,1252,345,394,507,1094,350,311
3R5.1,134,137,157,40,183,177,305,58,523,723,175,93,278,268,145,97,201,76,120,114,125,98,55,407,200
4R79.1,25,21,1066,162,159,48,2,1,12,11,53,10,6,11,2,1,1,81,237,187,135,66,42,27,8
4R79.2,148,197,253,16,74,25,128,33,218,275,135,73,155,185,58,83,174,365,332,28,24,19,39,36,9
6R55.2,5,34,23,24,11,22,9,9,10,18,10,2,21,1,7,5,4,21,24,5,6,79,22,11,3
AC3.1,8,30,22,4,12,10,56,7,74,171,27,29,46,94,10,24,85,39,42,8,7,10,23,9,4
AC3.10,3,5,61,6,51,141,15,8,22,24,31,7,12,19,6,4,7,1031,519,205,130,5,16,126,59
AC3.12,1,4,19,0,11,15,0,1,8,13,4,1,3,3,0,2,3,131,81,35,31,5,11,15,10
AC3.2,1786,2411,2199,426,1611,982,492,180,1198,1728,663,553,341,1202,229,224,583,2457,1544,1109,284,1040,1823,1868,758
AC3.3,2,9,11829,1104,2059,1153,5,97,4,13,117,9,181,6,130,5,3,484,1653,3039,9723,964,1065,955,782
AC3.4,2,7,10401,990,1883,1086,5,96,3,13,106,8,175,9,129,4,2,474,1545,2889,9530,923,985,903,741
AC3.5,3803,3597,7047,1937,9791,10170,5241,854,13464,11540,2619,2923,2952,11194,1580,3836,10232,7624,5860,1910,797,3562,5308,3646,1853
AC3.6,22,31,38,4,9,13,190,248,196,250,2719,1159,226,654,34,92,126,15,15,5,10,2,9,12,4
AC3.7,213,177,455,116,624,426,530,174,2274,2166,1059,1173,705,2512,151,557,1811,498,205,476,187,252,208,251,99
AC3.8,702,601,1150,138,662,308,22,10,100,108,40,40,169,68,3,150,155,612,213,150,51,119,155,372,98
AC7.1,179,279,105,28,36,31,269,30,510,676,181,146,152,380,84,112,323,62,53,37,26,22,62,83,49
AC7.2,6953,6175,3805,1162,3861,3312,1212,240,2385,2790,2012,1509,1071,1979,230,1187,2022,1446,1111,1151,618,2056,990,1607,560
AC7.3,5,3,18,1,61,214,2,0,2,4,1,1,0,3,1,0,0,364,300,88,107,4,3,40,12
AC8.10,894,1482,620,198,645,606,578,84,1275,1691,437,223,504,398,187,517,884,343,266,157,85,116,99,308,146
AC8.11,586,800,381,116,335,362,290,34,1130,1428,168,210,295,345,87,416,718,148,153,72,56,56,59,155,99
AC8.12,208,338,250,111,171,273,162,44,503,520,126,90,172,277,83,166,318,79,88,55,30,96,36,112,106
AC8.3,1004,1603,642,212,664,656,583,84,1459,1906,447,255,527,400,189,601,1038,351,273,157,85,116,103,314,159
AC8.4,503,629,360,97,319,298,274,26,814,1067,154,159,239,222,62,301,511,134,113,68,52,52,45,149,72
AC8.7,331,507,277,132,191,343,173,48,848,929,138,147,218,366,96,299,558,88,107,57,30,98,46,119,125
AH10.1,1,17,272,2,196,674,18,10,33,18,95,17,12,14,14,7,3,3563,1530,716,658,15,20,584,277
AH10.2,3,2,259,0,66,2,4,0,0,1,1,1,1,0,0,1,0,3,1,11,0,1,2,1,0
AH10.3,74,128,149,29,120,47,58,35,223,369,68,57,91,70,39,74,140,64,57,40,12,16,19,54,16
AH10.4,34,51,21,5,33,25,9,9,99,136,11,30,33,21,17,50,55,18,22,14,13,3,4,18,4
AH6.1,8,7,26,0,4,13,47,15,144,157,32,29,31,61,12,29,66,11,38,14,52,9,2,38,131
AH6.10,79,72,31,4,6,3,9,2,30,43,4,2,11,14,1,13,18,4,3,3,2,6,0,5,4
AH6.11,6,9,14,1,7,1,2,2,7,15,3,4,5,13,2,3,9,6,2,2,1,1,0,4,3
AH6.12,0,2,21,0,5,1,1,1,4,7,1,1,3,9,0,2,3,2,0,0,1,0,0,5,3
AH6.14,6,10,20,1,3,1,0,1,4,19,0,3,4,6,0,3,2,4,0,1,0,1,0,6,4
AH6.17,3,0,8,0,3,6,3,7,20,24,1,4,7,12,2,2,5,9,31,4,51,9,1,35,130
AH6.2,3,1,13,1,16,137,14,8,38,38,4,5,8,23,9,7,13,1144,717,185,211,14,21,201,263
AH6.3,2,1,11,2,63,129,7,7,19,27,2,3,9,11,5,3,5,737,626,263,259,15,15,263,194
AH6.4,6,5,15,0,4,6,21,9,41,66,4,6,10,30,4,6,23,7,36,10,51,9,1,40,130
AH6.5,327,41,82,57,297,823,245,196,309,445,199,106,361,56,96,124,132,1542,954,897,3608,417,18,9325,9841
AH6.6,1,3,19,0,3,1,6,2,36,103,1,6,0,34,3,2,10,2,0,0,0,1,0,5,4
AH6.7,1,2,21,0,8,2,4,4,12,23,3,10,4,21,1,10,9,4,2,2,1,1,3,8,6
AH6.8,1,7,17,1,13,3,4,2,31,68,6,4,6,16,2,11,27,8,1,2,0,0,0,5,3
AH9.1,6194,3113,228,593,107,1292,83,56,4152,3280,48,376,613,1143,265,1865,3187,103,501,27,15,43,388,88,102
AH9.2,60,144,151,34,133,203,16,12,53,64,33,18,38,22,4,28,52,177,124,28,137,127,66,287,264
AH9.3,252,359,437,117,338,310,157,66,289,215,368,168,108,221,44,83,151,159,196,166,167,381,159,207,172
AH9.4,184,336,102,17,14,21,75,11,125,135,59,36,34,121,25,37,76,32,35,4,4,7,22,7,1
AH9.6,581,1878,634,154,116,144,351,69,644,665,272,159,337,326,83,171,368,121,175,30,47,63,57,24,14
B0001.1,2783,4432,2181,787,1277,1933,831,162,1646,2175,878,572,627,1409,213,582,940,1103,882,609,749,1664,557,1798,1355
B0001.2,749,240,762,223,1506,1448,626,159,1840,2433,393,315,792,501,209,703,1021,1437,781,1440,672,132,172,4924,2023
B0001.3,1842,2592,1763,471,1271,1469,775,160,1571,1608,635,274,1350,714,278,940,1621,594,569,664,749,332,296,1897,1151
B0001.4,2989,1341,1618,577,1809,2203,944,226,2247,2669,1222,871,1097,1588,281,892,1380,1184,773,1188,1099,797,331,2966,1635
B0001.5,1408,2333,1019,534,1030,1833,1095,205,1448,1684,785,263,1091,321,314,621,868,601,482,476,593,294,165,1534,1064
B0001.6,6299,6294,5169,1777,4389,4247,12501,990,20880,26295,3785,2916,6161,4637,3424,5404,11211,3967,1638,1743,890,1539,996,2475,1165
B0001.7,346,127,292,126,640,904,358,101,990,1195,245,161,374,203,125,376,398,328,276,652,462,66,11,2454,1301
B0001.8,1268,1125,873,224,737,730,487,74,1011,1135,395,229,486,663,148,431,867,419,316,421,308,221,105,1450,669
B0019.1,2125,1451,2704,628,1909,1532,807,201,661,976,1913,584,639,453,211,380,516,2525,1478,915,897,934,1005,1189,561
B0019.2,1163,976,873,311,861,922,743,155,1487,1729,506,275,819,743,255,557,833,366,331,452,337,175,141,1591,989
B0024.1,217,797,1096,5443,10530,56974,46,143,427,115,1670,654,130,123,57,40,37,841,5307,634,2039,17266,15645,2622,2432
B0024.10,1348,1531,1168,384,1031,1531,826,163,1476,1540,544,271,1023,827,287,593,1190,1164,887,732,695,863,301,2249,1192
B0024.11,2057,2933,1691,656,1540,2012,962,273,1758,1935,787,374,2172,1091,378,956,1623,510,995,1102,953,456,393,2235,1520
B0024.12,482,624,551,182,463,420,152,57,334,394,182,82,314,285,54,159,245,286,368,177,185,508,343,205,175
B0024.13,740,891,508,297,584,1241,315,66,667,840,236,128,408,437,112,288,522,951,799,477,548,416,307,1371,1326
B0024.14,2669,3550,3771,1379,1832,4398,4642,482,4156,5596,2042,643,3497,1131,1539,1350,2913,2296,1085,482,509,486,712,859,760
B0024.15,232,139,165,56,313,222,47,11,151,184,25,38,74,143,5,55,124,112,65,24,13,120,45,77,16
B0024.2,40,110,636,124,1267,1557,571,2163,541,783,24197,7642,858,8589,134,218,428,341,1352,891,1115,3513,4133,659,422
B0024.3,301,352,227,36,82,85,79,24,235,314,102,78,109,210,33,86,228,57,47,47,11,71,41,53,8
B0024.4,75,30,211,19,935,1131,13,48,35,47,176,176,80,194,3,32,53,718,436,286,12,249,442,1121,569
B0024.6,63,111,97,14,35,45,74,21,242,272,54,62,68,164,26,55,189,23,36,9,3,4,37,24,10
B0024.8,842,1112,927,131,196,186,325,82,728,802,470,252,364,584,112,248,665,203,287,88,45,49,102,93,47
B0024.9,1495,2824,1634,713,1188,1880,4699,277,2077,2404,1259,257,3030,1091,816,751,1434,1880,1571,682,1689,2878,1275,1433,990
B0025.1,3136,3867,3612,1056,3076,2282,1673,333,4400,5382,1756,1485,1999,3927,607,1720,3628,1474,953,1128,501,727,607,2311,989
B0025.2,2773,3496,2585,761,2337,2503,1652,304,3881,4643,1072,825,1910,3168,663,1237,3144,2211,1763,1459,950,1239,1114,3550,1924
B0025.4,531,494,498,94,410,271,153,36,453,739,118,105,252,314,67,191,339,191,168,224,252,183,80,838,437
B0025.5,183,169,65,45,90,460,46,17,521,603,57,97,78,458,36,146,350,7415,3588,413,1193,179,213,431,535
B0034.1,454,366,1004,36,411,63,37,88,98,101,860,330,83,195,10,29,55,157,223,92,69,173,180,325,81
B0034.2,3,198,18,9,3,8,5,14,16,16,16,6,51,10,16,6,11,21,23,3,3,6,8,5,2
B0034.3,16877,71604,11056,4709,4396,6250,17978,2668,21348,27387,15406,7613,12592,8338,4158,8464,14842,5163,4713,1179,1101,1657,1114,1432,944
B0034.4,27,49,50,4,25,26,13,4,35,25,50,21,8,29,3,10,30,223,105,28,48,4,6,27,20
B0034.5,135,100,87,10,72,31,54,9,175,158,32,37,58,96,11,41,103,45,54,48,9,33,64,21,11
B0034.7,20,34,123,43,34,47,18,5,21,22,31,8,15,21,2,11,13,106,109,13,21,303,126,12,9
B0035.1,3488,4102,2159,1195,2482,4122,1571,234,1530,1837,1242,441,2146,602,389,1200,1326,1455,947,1136,1692,1820,823,2536,2371
B0035.10,12,104,250,175,424,800,94,1417,32,57,165,93,443,29,412,14,14,131,164,412,6057,643,82,554,452
B0035.11,2385,2940,2202,658,1367,1950,1022,191,1588,1886,619,338,1443,858,466,669,1163,971,883,745,873,936,565,2217,1800
B0035.12,3124,2251,2315,827,2717,2748,862,207,2548,2797,872,545,1393,885,297,1317,1603,915,736,1749,1020,562,294,4984,2225
B0035.13,4213,14265,2234,1348,3652,4211,9,11,112,93,150,84,92,84,7,51,77,5397,3847,1091,931,9913,3298,2121,1543
B0035.14,2919,3112,2532,837,2228,2631,1204,245,2146,2429,1295,695,1407,1552,359,1077,1992,1912,1475,1288,744,1465,991,2918,1416
B0035.15,781,627,1128,261,1008,744,362,68,723,810,251,126,441,520,85,233,525,402,425,472,439,383,392,1279,628
B0035.16,167,191,207,30,181,102,143,24,266,350,74,49,155,208,48,100,209,113,78,116,74,95,73,204,122
B0035.18,49,105,50,71,142,545,153,77,91,138,142,40,243,32,80,35,38,492,782,136,679,73,58,312,591
B0035.2,1975,1257,2164,623,2055,1927,239,85,844,1099,325,330,734,893,94,637,1042,1091,1253,1256,650,1692,1528,2060,1050
B0035.21,19,73,26,14,27,70,22,34,16,26,14,11,48,14,41,5,11,233,206,26,51,27,37,34,60
B0035.3,633,1374,777,326,833,1466,440,67,610,869,292,183,469,584,127,247,546,906,938,607,749,799,500,1752,1539
