"sample","treatment","tp","group"
"P24_1","PRD","24","PRD_24"
"P24_2","PRD","24","PRD_24"
"P24_3","PRD","24","PRD_24"
"P24_4","PRD","24","PRD_24"
"P48_2","PRD","48","PRD_48"
"P48_3","PRD","48","PRD_48"
"P48_4","PRD","48","PRD_48"
"P8_1","PRD","8","PRD_8"
"P8_2","PRD","8","PRD_8"
"P8_3","PRD","8","PRD_8"
"P8_4","PRD","8","PRD_8"
"P8_5","PRD","8","PRD_8"
"S24_1","solA","24","solA_24"
"S24_2","solA","24","solA_24"
"S24_3","solA","24","solA_24"
"S24_4","solA","24","solA_24"
"S24_5","solA","24","solA_24"
"S48_1","solA","48","solA_48"
"S48_2","solA","48","solA_48"
"S48_3","solA","48","solA_48"
"S48_5","solA","48","solA_48"
"S8_2","solA","8","solA_8"
"S8_3","solA","8","solA_8"
"S8_4","solA","8","solA_8"
"S8_5","solA","8","solA_8"
"W24_1","water","24","water_24"
"W24_2","water","24","water_24"
"W24_3","water","24","water_24"
"W24_4","water","24","water_24"
"W24_5","water","24","water_24"
"W48_1","water","48","water_48"
"W48_2","water","48","water_48"
"W48_3","water","48","water_48"
"W48_4","water","48","water_48"
"W48_5","water","48","water_48"
"W8_1","water","8","water_8"
"W8_2","water","8","water_8"
"W8_3","water","8","water_8"
"W8_4","water","8","water_8"
"W8_5","water","8","water_8"
