"","V1","C_ele_gene_ID","WormBase.Gene.ID","Public.Name","Gene.Ontology.Association","Concise.Description","Automated.Description"
"1","Gpal_D383_g03195","M01F1.6","WBGene00010812","mrpl-35","mitochondrion, ""ribosome""","N.A.","Is enriched in germ line\; hypodermis\; and muscle cell based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-16\; daf-12\; and let-7 based on microarray\; RNA-seq\; tiling array\; and proteomic studies. Is affected by six chemicals including rotenone\; stavudine\; and Rifampin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: Ribosomal protein L35, mitochondrial. Is an ortholog of human MRPL35 (mitochondrial ribosomal protein L35)."
"2","Gpal_D383_g05302","F11G11.7","WBGene00001027","dnj-9","cristae formation, ""mitochondrion""","This gene encodes a protein containing a DnaJ ('J') domain.","Is enriched in germ line based on RNA-seq and microarray studies. Is affected by several genes including daf-2\; sir-2.1\; and npr-1 based on microarray\; RNA-seq\; and proteomic studies. Is affected by seven chemicals including bisphenol S\; stavudine\; and antimycin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Domain of unknown function (DUF3395)\; DnaJ domain\; DnaJ domain\; DnaJ-like protein C11, C-terminal\; and Chaperone J-domain superfamily. Is an ortholog of human DNAJC11 (DnaJ heat shock protein family (Hsp40) member C11)."
"3","Gpal_D383_g08642","T22C8.7","WBGene00011928","cutl-12","integral component of membrane, ""membrane""","N.A.","Is affected by several genes including daf-16\; skn-1\; and rrf-3 based on microarray\; tiling array\; and RNA-seq studies. Is affected by ten chemicals including stavudine\; Zidovudine\; and Psoralens based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: ."
"4","Gpal_D383_g04326","T25D10.3","WBGene00004996","spp-11","N.A.","N.A.","Is enriched in dopaminergic neurons based on tiling array studies. Is affected by several genes including daf-16\; daf-2\; and clk-1 based on tiling array\; microarray\; and RNA-seq studies. Is affected by eight chemicals including glycine\; Chlorpyrifos\; and single-walled carbon nanotube based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Saposin B type domain and Saposin-like."
"5","Gpal_D383_g00805","F25F6.1","WBGene00017794","mltn-13","N.A.","N.A.","Is affected by several genes including daf-16\; let-60\; and rrf-3 based on microarray and RNA-seq studies. Is affected by Rifampin\; glycine\; and Colistin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Moulting cycle and Moulting cycle MLT-10-like protein."
"6","Gpal_D383_g09174","C25H3.15","WBGene00044391","C25H3.15","N.A.","N.A.","Is enriched in germline precursor cell and somatic gonad precursor based on tiling array and RNA-seq studies. Is affected by several genes including daf-12\; eat-2\; and clk-1 based on tiling array\; microarray\; and RNA-seq studies. Is affected by seven chemicals including Tunicamycin\; stavudine\; and Zidovudine based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domain: ."
"7","Gpal_D383_g03871","ZK1055.4","WBGene00022845","ZK1055.4","integral component of membrane, ""membrane""","N.A.","Is enriched in hypodermis based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on tiling array\; RNA-seq\; and microarray studies. Is affected by seventeen chemicals including methylmercury hydroxide\; methylmercuric chloride\; and multi-walled carbon nanotube based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Protein of unknown function, DUF273\; Protein of unknown function DUF273\; and Nucleotide-diphospho-sugar transferases."
"8","Gpal_D383_g17068","C07D10.2","WBGene00015567","bath-44","cytoplasm, ""nucleus"", ""proteasome-mediated ubiquitin-dependent protein catabolic process"", ""regulation of proteolysis"", ""ubiquitin protein ligase binding""","The C07D10.2 gene encodes a protein with a meprin-associated Traf homology (MATH) domain that may be involved in apoptosis.","Is enriched in AVK\; germ line\; intestine\; and sensory neurons based on microarray and RNA-seq studies. Is affected by several genes including daf-2\; daf-12\; and hsf-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by six chemicals including Alovudine\; stavudine\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: BTB And C-terminal Kelch\; BTB\/POZ domain\; BTB\/POZ domain\; MATH\/TRAF domain\; TRAF-like\; SKP1\/BTB\/POZ domain superfamily\; and BTB\/Kelch-associated."
"9","Gpal_D383_g00262","T26C5.5","WBGene00012035","T26C5.5","N.A.","N.A.","Is enriched in RIS\; head mesodermal cell\; and neurons based on RNA-seq studies. Is affected by several genes including daf-2\; elt-2\; and eat-2 based on RNA-seq and microarray studies. Is affected by seven chemicals including methylmercuric chloride\; Psoralens\; and allantoin based on microarray and RNA-seq studies."
"10","Gpal_D383_g03210","B0361.2","WBGene00015156","cwf-19L2","mRNA splicing, post-mRNA release spliceosomal complex"", via spliceosome""","N.A.","Is enriched in germ line\; germline precursor cell\; head mesodermal cell\; hypodermis\; and neurons based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-12\; sir-2.1\; and pgl-1 based on RNA-seq\; tiling array\; and microarray studies. Is affected by seven chemicals including Zidovudine\; antimycin\; and resveratrol based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Protein similar to CwfJ C-terminus 2\; Cwf19-like protein, C-terminal domain-2\; and Cwf19-like protein. Is an ortholog of human CWF19L2 (CWF19 like cell cycle control factor 2)."
