"Geneid","baseMean","log2FoldChange","lfcSE","pvalue","padj","Ce_ID","pathway","sample"
"Gpal_D383_g02823",217.278240853019,-0.685544393857903,0.214050350792169,9.50916590157106e-06,0.000753956625161346,"ugt-65.2","DA_biosynthesis","solA_8h"
"Gpal_D383_g04922",97.2283128091541,0.958765730255022,0.274835117759098,3.70035568742523e-06,0.00031906316914824,"hsb-1","insulin/IGF-1","solA_8h"
"Gpal_D383_g02823",217.278240853019,-0.951729570189504,0.17333699092543,7.16451301622829e-10,2.86957600281565e-08,"ugt-65.2","DA_biosynthesis","solA_24h"
"Gpal_D383_g04922",97.2283128091541,0.725450316595807,0.22212638057299,2.43980940022627e-05,0.000403629337733085,"hsb-1","insulin/IGF-1","solA_24h"
"Gpal_D383_g07051",189.695805140185,0.414060272555466,0.164261466179764,0.00199800846427013,0.015921303050362,"age-1","insulin/IGF-1","solA_24h"
"Gpal_D383_g07446",4698.99516545267,-0.244645777931082,0.091035073775005,0.00409125235304952,0.0287284248274112,"daf-18","insulin/IGF-1","solA_24h"
"Gpal_D383_g16940",74.0560861027555,-1.38268528764969,0.280863452423642,1.62152563978699e-08,5.16850685603307e-07,"daf-7.1","TGFbeta","solA_24h"
"Gpal_D383_g05879",485.870776974276,0.385611916695809,0.143693644350271,0.003625256683362,0.0358493675537143,"din-1.4","DA_biosynthesis","solA_48h"
"Gpal_D383_g09814",105.298337612708,0.60919872129954,0.230917806079431,0.00106966236019939,0.0135095997903122,"ugt-65.17","DA_biosynthesis","solA_48h"
"Gpal_D383_g11786",21.8086147770845,-1.66772722970136,0.584473377727753,3.81888303419091e-05,0.000814909440727559,"tax-4.1","cGMP","solA_48h"
"Gpal_D383_g16826",227.365658237403,0.546953984342422,0.178255668723037,0.000466274712475055,0.0067516578366388,"daf-12","DA_biosynthesis","solA_48h"
"Gpal_D383_g16940",74.0560861027555,-1.79554039511283,0.329613793696323,2.55674978499839e-09,1.34275729641159e-07,"daf-7.1","TGFbeta","solA_48h"
"Gpal_D383_g02356",549.45129681394,0.373872885293607,0.0922783162574264,6.72034794904044e-06,0.000327352583345137,"pptr-1","insulin/IGF-1","PRD_8h"
"Gpal_D383_g04618",64.3234138037586,-0.785368867768231,0.479730381502013,0.00393030083314142,0.0325411275192624,"daf-11.1","cGMP","PRD_8h"
"Gpal_D383_g04714",28.9486601783291,-1.95310623879617,1.1904169645644,0.00144418757478368,0.016002799038827,"ftt-2/par-5.2","insulin/IGF-1","PRD_8h"
"Gpal_D383_g06755",49.4213564168156,-2.07450958483866,0.546199539025493,1.68347149487561e-05,0.000656690750602698,"egl-4","TGFbeta","PRD_8h"
"Gpal_D383_g07051",189.695805140185,0.423924666383566,0.177793888371857,0.00110457056314184,0.0132980848973725,"age-1","insulin/IGF-1","PRD_8h"
"Gpal_D383_g07807",78.8366581095881,-0.630102568495062,0.416629084959319,0.00611045315815447,0.0447082457889431,"akt-1/2","insulin/IGF-1","PRD_8h"
"Gpal_D383_g10198",8.33141341744992,-2.62975719668308,0.943521158758992,9.33697554028682e-05,0.00225686693412071,"acs-19.1","insulin/IGF-1","PRD_8h"
"Gpal_D383_g10669",58.5057439675231,-1.85480011372493,0.848604729473327,0.00081318315344143,0.0108079024105595,"ftt-2/par-5.1","insulin/IGF-1","PRD_8h"
"Gpal_D383_g13344",10.8334572080994,-2.22311073615055,0.911681461356361,0.000331933115699399,0.00567777215374586,"din-1.3","DA_biosynthesis","PRD_8h"
"Gpal_D383_g13345",217.470847276681,-1.08565038827203,0.235724189493916,4.33549791289033e-07,3.71459267607996e-05,"din-1.2","DA_biosynthesis","PRD_8h"
